Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRCplus,BsR,Fld,Off,Def,WAR,ADP,id
Charles Leblanc,MIA,73,301,271,62,13,1,8,30,30,24,92,3,4,2,0.23,0.296,0.369,0.665,0.293,90,-0.1,1.8,-3.6,-1.3,0.5,999,19813
Stuart Fairchild,CIN,68,260,229,52,11,1,10,30,30,22,75,5,5,2,0.226,0.305,0.411,0.715,0.313,94,-0.1,1.2,-1.9,-1.7,0.5,999,20321
Nick Solak,CIN,62,255,227,57,11,1,8,29,29,20,55,5,4,2,0.252,0.323,0.412,0.735,0.323,101,0.2,-1.5,0.5,-3.9,0.5,999,19294
Samad Taylor,KCR,31,125,111,27,5,1,4,15,14,11,29,1,5,2,0.243,0.317,0.404,0.721,0.315,102,0.2,0,0.6,0.5,0.5,999,218192
P.J. Higgins,CHC,69,278,245,56,12,1,6,28,26,26,68,3,1,1,0.229,0.308,0.353,0.662,0.295,89,-0.6,-0.2,-4.1,2,0.5,999,18433
Didi Gregorius,FA,49,198,181,43,8,2,5,20,21,11,31,3,1,1,0.236,0.289,0.381,0.67,0.293,89,0,-1.3,-2.6,1.1,0.5,999,6012
Jonah Bride,OAK,36,148,128,31,7,0,3,16,14,16,28,3,1,0,0.243,0.335,0.369,0.704,0.315,110,-0.3,-0.1,1.5,-1.2,0.5,999,24703
Andy Pages,LAD,26,105,93,21,4,0,5,13,14,9,28,2,1,0,0.228,0.302,0.438,0.74,0.321,109,-0.1,0,1,0.4,0.5,999,2005625
Andy Ibáñez,DET,57,230,208,53,11,1,5,24,24,16,38,2,2,1,0.252,0.31,0.393,0.703,0.308,102,-0.3,-1.2,0.2,-2.6,0.5,999,18819
Ryan Noda,OAK,52,210,178,38,8,0,8,24,23,26,65,3,3,1,0.213,0.321,0.392,0.713,0.315,111,-0.1,0,2.5,-4.3,0.5,999,273960
Mario Feliciano,MIL,26,102,94,23,4,0,3,11,12,6,20,1,1,0,0.246,0.295,0.397,0.692,0.302,94,-0.1,0,-0.8,2.2,0.5,999,20263
Vidal Bruján,TBR,36,144,130,31,7,1,3,16,15,12,28,1,8,3,0.237,0.304,0.372,0.676,0.299,99,0.4,0,0.2,-0.1,0.5,999,20536
Matt Duffy,FA,76,314,284,73,13,1,4,31,29,23,62,4,2,1,0.259,0.32,0.347,0.668,0.298,92,-0.8,-1.2,-3.7,-1.8,0.5,999,13836
Alex Isola,MIN,23,92,81,19,4,0,3,10,10,8,20,1,1,0,0.231,0.305,0.385,0.69,0.304,99,-0.1,0,-0.2,1.9,0.5,999,8170516
Andrew Bechtold,MIN,38,153,136,28,6,0,4,15,15,14,47,1,1,0,0.204,0.281,0.345,0.626,0.278,81,-0.2,0,-3.4,3.1,0.5,999,229787
Tyler Heineman,FA,23,87,79,19,4,0,1,9,8,6,15,1,1,0,0.24,0.298,0.347,0.645,0.286,84,-0.2,0,-1.8,1.9,0.5,999,13897
Gabriel Moreno,TOR,15,60,54,15,3,0,2,7,7,4,11,1,1,0,0.268,0.327,0.416,0.743,0.325,113,0,0.2,0.9,1.4,0.5,999,22664
Tyler Naquin,FA,96,400,365,89,19,3,12,45,46,25,100,4,5,2,0.244,0.298,0.411,0.71,0.308,99,-0.1,-3.2,-0.7,-7.9,0.5,999,13359
Elehuris Montero,COL,39,157,141,37,8,1,7,20,22,11,37,2,1,0,0.261,0.321,0.471,0.793,0.342,107,-0.1,-0.1,1.1,-1.9,0.5,999,20543
Yuli Gurriel,FA,125,529,483,126,29,1,11,56,56,35,69,5,4,2,0.262,0.316,0.39,0.706,0.31,100,-1.3,-1.3,-1.2,-11.7,0.5,999,19198
Andrelton Simmons,FA,66,255,233,55,10,1,3,24,22,16,41,2,4,1,0.238,0.292,0.319,0.611,0.273,75,0,0.5,-7.4,3.4,0.5,999,10847
Carlos Pérez,CHW,26,102,93,23,4,0,3,11,12,6,12,1,1,0,0.243,0.295,0.404,0.698,0.305,98,-0.1,-0.2,-0.4,1.9,0.5,999,20805
Austin Wynns,SFG,30,117,103,25,4,0,2,12,11,10,25,1,1,0,0.242,0.316,0.359,0.675,0.301,95,-0.2,0,-0.9,2.5,0.4,999,15271
Cal Stevenson,OAK,36,144,124,29,6,1,2,15,13,17,33,1,4,1,0.232,0.325,0.346,0.67,0.301,101,0,1.1,0.2,-0.5,0.4,999,22411
Odúbel Herrera,FA,42,175,161,41,8,1,5,20,19,10,32,2,3,1,0.258,0.307,0.405,0.713,0.311,101,-0.1,-0.9,0.2,-1.6,0.4,999,11476
Jorge Alfaro,FA,48,194,180,43,8,0,5,19,21,9,62,3,2,1,0.237,0.28,0.373,0.652,0.285,83,-0.4,-0.7,-4.1,3.4,0.4,999,12180
Meibrys Viloria,CLE,24,95,82,17,4,0,2,10,9,11,29,1,1,0,0.209,0.312,0.33,0.642,0.29,87,-0.1,0.1,-1.4,2.1,0.4,999,17109
Corey Dickerson,FA,75,311,287,75,16,2,7,34,35,17,57,3,2,1,0.262,0.308,0.405,0.713,0.31,101,-0.7,-1.8,-0.5,-5.5,0.4,999,10762
David Hensley,HOU,45,185,161,39,9,1,4,21,19,20,46,1,4,1,0.24,0.326,0.373,0.699,0.31,103,-0.1,0.3,0.4,-2.1,0.4,999,25111
Jarren Duran,BOS,73,312,282,68,15,3,7,37,31,22,83,4,10,3,0.241,0.302,0.396,0.698,0.305,93,0.3,-2.7,-2.3,-3.5,0.4,999,24617
Zack Short,DET,40,162,139,28,7,0,4,16,15,19,46,2,2,1,0.2,0.302,0.337,0.638,0.287,87,-0.1,0.4,-2.5,1.5,0.4,999,19562
Edouard Julien,MIN,24,99,83,20,4,0,3,12,10,13,28,1,2,1,0.237,0.343,0.391,0.734,0.326,115,0,0,1.6,-0.7,0.4,999,2014445
Hanser Alberto,FA,60,242,229,61,12,2,3,24,24,7,34,3,2,1,0.264,0.292,0.373,0.665,0.29,87,0,-1.2,-3.7,-0.2,0.4,999,11902
Darick Hall,PHI,57,233,208,48,11,0,12,28,32,19,59,3,1,1,0.231,0.303,0.46,0.763,0.328,110,-0.2,0,2.6,-6.4,0.4,999,19717
David Fry,CLE,21,86,77,18,4,0,3,10,10,6,20,1,0,0,0.229,0.296,0.394,0.69,0.302,96,-0.1,0,-0.4,1.8,0.4,999,2006787
Yainer Diaz,HOU,23,94,87,23,4,0,4,11,13,5,17,1,0,0,0.261,0.304,0.45,0.754,0.326,113,-0.1,0,1.4,-0.3,0.4,999,23003
Anthony Bemboom,BAL,32,124,110,23,4,0,3,12,12,11,31,1,1,0,0.208,0.282,0.336,0.618,0.276,78,-0.3,0.2,-3.4,2.9,0.4,999,13854
Tyler Freeman,CLE,23,92,83,23,5,0,1,10,9,5,11,2,1,0,0.273,0.332,0.386,0.718,0.317,107,-0.1,-0.2,0.6,0.3,0.4,999,22532
Mark Vientos,NYM,18,72,65,15,3,0,4,9,10,6,21,1,0,0,0.238,0.306,0.451,0.757,0.326,116,-0.1,0.2,1.3,0,0.4,999,22184
