Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRCplus,BsR,Fld,Off,Def,WAR,ADP,id
Alex Jackson,MIL,6,24,21,4,1,0,1,2,3,2,8,0,0,0,0.191,0.262,0.368,0.631,0.276,76,0,0,-0.7,0.5,0.1,999,17276
Jake Cave,PHI,10,39,35,8,2,0,1,4,4,3,11,1,0,0,0.229,0.295,0.39,0.685,0.299,90,0,-0.1,-0.4,-0.4,0,999,14477
Greg Cullen,BAL,3,13,11,3,0,0,0,1,1,1,3,0,0,0,0.233,0.328,0.363,0.691,0.308,101,0,0,0,0.1,0,999,2007069
Rylan Bannon,HOU,5,20,17,4,1,0,1,2,2,2,5,0,0,0,0.21,0.301,0.363,0.664,0.296,92,0,-0.1,-0.2,0,0,999,19768
Chuckie Robinson,CIN,5,18,16,4,1,0,1,2,2,1,4,0,0,0,0.226,0.282,0.374,0.657,0.288,77,0,0,-0.5,0.3,0,999,19824
Tyler Dearden,BOS,6,26,23,5,1,0,1,3,3,3,7,0,0,0,0.236,0.317,0.392,0.71,0.312,98,0,0,-0.1,-0.3,0,999,2005103
Kyle McCann,OAK,5,18,16,3,1,0,1,2,2,2,7,0,0,0,0.186,0.265,0.326,0.591,0.264,74,0,0,-0.5,0.4,0,999,8159677
Maikel Garcia,KCR,3,13,12,3,1,0,0,1,1,1,2,0,0,0,0.25,0.31,0.364,0.674,0.297,90,0,0,-0.1,0.1,0,999,22715
Jed Lowrie,FA,6,28,25,6,1,0,1,3,3,2,6,0,0,0,0.234,0.297,0.36,0.657,0.29,87,-0.1,-0.1,-0.5,0,0,999,4418
Charlie Culberson,FA,32,129,119,28,6,0,3,13,13,7,32,1,3,1,0.238,0.283,0.36,0.644,0.282,81,-0.1,-1,-2.8,-1,0,999,3298
Seth Beer,ARI,19,79,69,16,4,0,2,9,9,7,17,3,0,0,0.233,0.321,0.396,0.717,0.316,102,-0.2,0,0,-2.3,0,999,20493
